ZCTA5CE20,buildingCostSum,avgConstructionYear,mainOccupancyType,claimCount
32832,10415553.0,1980.5185185185185,11.0,27
32833,5318694.0,1996.5,1.0,20
32835,17759661.0,1977.578125,1.0,64
32836,4878343.0,1978.642857142857,1.0,14
32837,146648558.0,1990.2083333333333,1.0,24
32839,73878014.0,1966.5061728395062,11.0,243
32903,108713072.0,1968.9137466307277,1.0,371
32904,65747885.0,1978.5797872340424,1.0,376
32907,5720106.0,1987.878048780488,1.0,41
32909,28402836.0,1993.2222222222222,1.0,9
32920,161475919.0,1980.1958762886597,1.0,97
32926,26078073.0,1974.35,1.0,160
32927,1740019205.0,1987.6153846153845,1.0,52
32937,38166797.0,1972.2894736842106,1.0,152
32940,63178063.0,1986.6515151515152,1.0,264
32948,1157976.0,1978.25,1.0,8
32950,36099808.0,1981.4,1.0,150
32951,28078285.0,1973.3496932515338,1.0,163
32953,63332485.0,1977.8765957446808,1.0,235
32955,44436564.0,1979.2944785276075,1.0,163
32958,22594739.0,1975.139534883721,1.0,86
32962,207150138.0,1971.6656976744187,1.0,688
32966,2606652.0,1987.2307692307693,1.0,13
32967,217344834.0,1976.2448979591836,1.0,294
32968,10761180.0,1973.5892857142858,1.0,56
33014,25505457211.0,1978.9970355731225,1.0,2024
33018,22238854.0,1986.5661764705883,1.0,136
33023,28841524437.0,1968.2550567340897,1.0,2027
33025,9763286326.0,1983.6527012127895,1.0,907
33029,3129315794.0,1992.9267515923566,1.0,314
33030,7605818303.0,1976.5805084745762,1.0,708
33033,2125201863.0,1985.8125,1.0,720
33034,35399888.0,1975.0977777777778,1.0,225
33035,1430814.0,1991.0,4.0,1
33036,136858156.0,1972.7950310559006,1.0,322
33037,305747547.0,1975.105882352941,1.0,1020
33040,292380634.0,1973.9601677148846,1.0,1431
33042,346436267.0,1976.3734655335222,1.0,2118
33043,517859150.0,1977.9479203075848,1.0,2861
33050,406027229.0,1972.3454266734798,1.0,1957
33070,157173046.0,1973.2396856581533,1.0,509
33073,3590750278.0,1983.359673024523,1.0,367
33127,16152206040.0,1963.4302213666988,1.0,1039
33142,52718179816.0,1966.6782641227085,1.0,2673
33143,16194934711.0,1972.2865853658536,1.0,1148
33168,64584519548.0,1960.1456273764259,1.0,2630
33177,86023106165.0,1987.3532784841686,1.0,4011
33178,55664498564.0,1980.9227193492156,1.0,1721
33183,171795270002.0,1981.3529171766627,1.0,4902
33187,1270510956.0,1985.5820105820105,1.0,189
33194,6202523448.0,1995.4827586206898,1.0,232
33308,4331152901.0,1966.4740518962076,1.0,1002
33309,15380723024.0,1974.0308139534884,1.0,1720
33312,6151342408.0,1963.338032485443,11.0,3263
33325,10528894228.0,1981.4912536443148,1.0,686
33327,30299222325.0,1983.170692431562,1.0,1242
33409,44143031.0,1971.7581967213114,1.0,244
33410,5826893710.0,1976.0383141762452,1.0,261
33411,1186500486.0,1988.6376811594203,1.0,69
33412,6935704.0,1986.5666666666666,1.0,30
33430,544800.0,1975.0,1.0,4
33436,2462413815.0,1972.9814814814815,1.0,378
33440,3688184.0,1983.2105263157894,1.0,19
33441,1713822691.0,1971.590443686007,1.0,293
33455,1026857994.0,1977.8837209302326,1.0,129
33458,129024677.0,1978.2291666666667,1.0,288
33462,2630057006.0,1973.9083333333333,1.0,360
33467,22019055.0,1990.857142857143,1.0,84
33469,37981245.0,1979.090909090909,1.0,121
33470,12050533.0,1987.2641509433963,1.0,53
33471,851828.0,1978.75,1.0,8
33473,13471372.0,1995.6829268292684,1.0,41
33478,3191689016.0,1983.8837209302326,1.0,43
33487,427938947.0,1981.3862433862435,1.0,189
33496,77859577.0,1986.741935483871,1.0,124
33511,24977144.0,1974.3722627737227,1.0,137
33513,713858.0,1981.7,1.0,10
33514,187600.0,1988.0,1.0,3
33523,17403298.0,1978.3587786259543,1.0,131
