ZCTA5CE20,Dam,Outlet,Station,Streamgage
34691,0,0,1,1
34695,0,0,16,16
34698,0,0,2,2
34705,0,0,2,3
34711,0,0,2,2
34714,0,0,6,7
34715,0,0,2,2
34731,0,0,1,1
34736,1,0,7,7
34739,0,0,5,5
34741,0,0,3,3
34744,1,0,2,2
34746,1,0,2,3
34747,0,0,3,6
34748,1,0,7,8
34759,0,0,1,1
34761,0,0,1,1
34771,1,0,2,2
34772,1,0,2,3
34773,2,0,12,12
34785,0,0,3,3
34786,0,0,1,2
34787,0,0,5,5
34788,1,0,3,3
34945,1,0,9,9
34947,0,0,1,2
34950,1,0,3,3
34951,1,0,1,1
34952,0,0,7,9
34953,1,0,9,9
34956,1,0,6,7
34957,0,0,2,2
34972,2,0,18,21
34974,18,2,19,25
34981,0,0,2,3
34982,0,0,6,6
34983,0,0,1,2
34986,0,0,7,7
34987,0,0,15,15
34990,2,0,7,8
34994,0,0,5,8
34996,0,1,3,4
34997,0,0,4,4
